"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-16 ~ 2026-02-15"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"30","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제1종근린생활","25m미만","34.96"," ","21,727","","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"31","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제2종근린생활","25m미만","44.09"," ","27,320","5","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"32","경기도 화성효행구 정남면 제기리","일반","2**","제기길50번길","계획관리","제1종근린생활","-","155.25","400.00","40,300","","개인","개인","202602","11","","2026","-","중개거래","경기 화성효행구"
"33","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제2종근린생활","25m미만","44.09"," ","27,320","4","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"34","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제2종근린생활","25m미만","22.44"," ","27,320","3","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"35","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제2종근린생활","25m미만","44.09"," ","27,320","2","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"36","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제1종근린생활","25m미만","5.81"," ","3,599","1","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"37","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제1종근린생활","25m미만","15.71"," ","9,734","1","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"38","경기도 광명시 하안동","집합","34-2","하안로","일반상업","제1종근린생활","25m미만","4.95"," ","3,076","1","개인","개인","202602","11","지분","1990","-","중개거래","경기 수원시 장안구"
"39","경기도 수원시 팔달구 매산로1가","집합","16","향교로1번길","일반상업","숙박","12m미만","20.23"," ","9,500","9","개인","개인","202602","11","","2019","-","직거래","-"
"40","경기도 고양시 일산서구 탄현동","집합","1476","일현로","제3종일반주거","제2종근린생활","25m이상","9.36"," ","4,400","1","개인","개인","202602","11","지분","","-","중개거래","경기 고양시 일산서구"
"41","경기도 안양시 만안구 안양동","일반","8**","안양로","제2종일반주거","제2종근린생활","25m이상","669.05","494.80","400,000","","법인","개인","202602","11","","1978","-","직거래","-"
"42","경기도 부천시 원미구 중동","집합","1181","조마루로","제3종일반주거","판매","25m이상","69.44"," ","17,480","","법인","개인","202602","11","","1993","-","직거래","-"
"43","경기도 부천시 원미구 중동","집합","1181","조마루로","제3종일반주거","판매","25m이상","147.53"," ","37,137","","법인","개인","202602","11","","1993","-","직거래","-"
"44","경기도 부천시 원미구 중동","집합","1181","조마루로","제3종일반주거","제2종근린생활","25m이상","339.19"," ","85,383","","법인","개인","202602","11","","1993","-","직거래","-"
"45","경기도 파주시 문산읍 문산리","집합","10-93","문산로26번길","일반상업","제1종근린생활","12m미만","18.72"," ","2,700","","개인","개인","202602","11","","1995","-","중개거래","경기 파주시"
